sno,sna,sarea,lng,lat,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
128,成功國宅,大安區,121.546726,25.026808,0.73,0.42,0.65,0.5,0.24,0.54,0.11,0.03,0,0.08,0,0.22,0.44,0.56,0.47,0.22,0.56,0.58
129,捷運文德站(2號出口),內湖區,121.58456,25.078424,0.9,0.63,0.02,0.12,0.16,0.18,0.29,0.1,0.06,0.1,0.18,0.32,0.66,0.66,0.66,0.8,0.78,0.84
130,羅斯福寧波東街口,中正區,121.519411,25.031445,0.62,0.73,0.42,0.62,0.81,0.62,0.81,0.62,0.54,0.54,0.5,0.04,0.12,0.81,0.31,0.08,0,0.08
131,洲子二號公園,內湖區,121.568688,25.079322,0.21,0.18,0.26,0.62,0.59,0.41,0.44,0.53,0.65,0.53,0.65,0.62,0.19,0.06,0.09,0,0.03,0.41
132,羅斯福新生南路口,大安區,121.5331757,25.01603085,0.78,0.4,0,0,0.02,0.09,0.07,0,0.01,0.06,0.29,0.39,0.54,0.56,0.71,0.55,0.42,0.62
133,蘭興公園,士林區,121.525888,25.111839,0.6,0.53,0.3,0.25,0.3,0.2,0.35,0.4,0.45,0.05,0.07,0.1,0.1,0.38,0.3,0.75,0.23,0.53
134,捷運芝山站(2號出口),士林區,121.522629,25.10336,0.41,0.44,0.08,0.35,0.35,0.46,0.83,0.75,0.52,0.39,0.48,0.84,0.57,0.52,0.22,0.03,0.02,0.16
135,捷運石牌站(2號出口),北投區,121.515677,25.114513,0.3,0.43,0.53,0.58,0.55,0.6,0.47,0.55,0.83,0.36,0.36,0.57,0.13,0.11,0.22,0,0,0.26
136,國立臺北護理健康大學,北投區,121.517512,25.118049,0.33,0.13,0.27,0.43,0.43,0.37,0.63,0.9,0.6,0.37,0.21,0.5,0.3,0.23,0.43,0.33,0.3,0.27
137,國防大學,北投區,121.493066,25.137976,0.46,0.48,0.41,0.43,0.39,0.39,0.41,0.43,0.41,0.43,0.39,0.39,0.22,0.3,0.33,0.52,0.52,0.61
138,捷運永春站(2號出口),信義區,121.575372,25.040558,0.47,0.77,0.07,0.03,0.4,0.47,0.8,0.57,0.73,0.8,0.53,0.6,0.77,0.77,0.17,0.37,0.17,0.73
139,永樂市場,大同區,121.510549,25.054501,0.29,0.24,0.79,0.42,0.61,0.37,0.5,0.11,0.55,0.65,0.89,0.55,0.53,0.34,0.16,0.05,0.26,0.26
140,捷運大橋頭站(2號出口),大同區,121.512909,25.063404,0.26,0.43,0.3,0.46,0.67,0.7,0.7,0.76,0.76,0.78,0.59,0.22,0.39,0.65,0.7,0.74,0.7,0.5
141,文山行政中心,文山區,121.569984,24.989902,0.36,0.36,0.47,0.44,0.39,0.47,0.42,0.36,0.39,0.44,0.44,0.28,0.44,0.44,0.17,0.22,0.25,0.22
142,捷運木柵站,文山區,121.574214,24.997747,0.4,0.37,0.37,0.42,0.44,0.35,0.35,0.35,0.31,0.6,0.52,0.27,0.25,0.17,0.27,0.19,0.12,0.31
